TABLE_NAME
bodega_monitor_parametro
bodega_parametros
configuracion_alias_campos
configuracion_barra_pallet
configuracion_qa
configuracion_usuario_det
configuracion_usuario_enc
i_nav_config_area_bodega
i_nav_config_det
i_nav_config_enc
i_nav_config_ent
i_nav_config_producto_estado
Inv_SAP
p_parametro
producto_parametro_a
producto_parametro_b
producto_parametros
stock_parametro
trans_picking_det_parametros
trans_re_det_parametros
VW_Configuracion_Usuario_Template
VW_Configuracioninv
VW_navdetalleconfiguracion
VW_Parametro
VW_ProductoBodegaParametro
VW_ProductoParametro
VW_Stock_Serie_Parametro
