IdTipoTarea,tipo,interno_MAL,sale_MAL,entra_MAL,movs
3,CEST,0.0,0.0,17.0,4
5,DESP,8.0,0.0,0.0,49
20,EXPLOSION,0.0,0.0,0.0,2
8,PIK,8.0,0.0,0.0,49
1,RECE,0.0,0.0,0.0,17
2,UBIC,0.0,0.0,0.0,29
11,VERI,8.0,0.0,0.0,49
17,AJCANTN,9.0,0.0,0.0,2
