IdMovimiento,fecha,cantidad,IdPresentacion,lic_plate,IdEstadoOrigen,estO,IdEstadoDestino,estD,usuario_agr
317729,2026-02-13 07:49:15,4.0,,,1,BUEN ESTADO,16,MAL ESTADO,31
331113,2026-02-25 12:28:07,4.0,,,1,BUEN ESTADO,16,MAL ESTADO,31
367882,2026-03-27 11:23:39,4.0,,,1,BUEN ESTADO,16,MAL ESTADO,31
367884,2026-03-27 11:24:21,5.0,90,,1,BUEN ESTADO,16,MAL ESTADO,31
