TABLE_NAME
i_nav_acuerdo
i_nav_acuerdo_det
i_nav_acuerdo_enc
i_nav_barras_pallet
i_nav_bodega
i_nav_cliente
i_nav_config_area_bodega
i_nav_config_det
i_nav_config_enc
i_nav_config_ent
i_nav_conversion
i_nav_ejecucion_det_error
i_nav_ejecucion_enc
i_nav_ejecucion_res
i_nav_ent
i_nav_ent_filtros
i_nav_ped_compra_det
i_nav_ped_compra_det_lote
i_nav_ped_compra_enc
i_nav_ped_traslado_det
i_nav_ped_traslado_det_120828
i_nav_ped_traslado_det_lote
i_nav_ped_traslado_enc
i_nav_ped_traslado_enc_120828
i_nav_producto
i_nav_producto_presentacion
i_nav_proveedor
i_nav_servicio
i_nav_transacciones_out
i_nav_transacciones_out_error
i_nav_transacciones_push
