IdPickingUbic,IdPickingEnc,lic_plate,cantidad_solicitada,cantidad_verificada,cantidad_despachada,encontrado,dañado_picking,dañado_verificacion,no_encontrado,fec_agr,fec_mod,IdOperadorBodega_Asignado,IdOperadorBodega_Pickeo,user_agr,user_mod
156105,6395,FU06688,8.0,0.0,0.0,True,True,False,False,2026-04-06 06:53:56.387000,2026-04-06 11:21:56.810000,0,0,20,20
156106,6395,FU06688,3.0,0.0,0.0,True,True,False,False,2026-04-06 06:53:56.387000,2026-04-06 11:22:17.297000,0,0,20,20
156103,6395,FU06688,1.0,0.0,0.0,True,True,False,False,2026-04-06 06:53:56.373000,2026-04-06 11:21:09.810000,0,0,20,20
156104,6395,FU06688,3.0,0.0,0.0,True,True,False,False,2026-04-06 06:53:56.373000,2026-04-06 11:21:31.263000,0,0,20,20
151916,6188,FU06688,1.0,0.0,0.0,True,True,False,False,2026-03-23 09:56:36.580000,2026-03-23 11:05:50.153000,0,0,20,20
151917,6188,FU06688,27.0,0.0,0.0,True,True,False,False,2026-03-23 09:56:36.580000,2026-03-23 11:06:29.187000,0,0,20,20
151998,6188,FU06688,8.0,0.0,0.0,True,True,False,False,2026-03-23 09:56:36.580000,2026-03-23 11:05:34.120000,0,0,20,20
152000,6188,FU06688,8.0,0.0,0.0,True,True,False,False,2026-03-23 09:56:36.580000,2026-03-23 11:05:38.067000,0,0,20,20
152003,6188,FU06688,3.0,0.0,0.0,True,True,False,False,2026-03-23 09:56:36.580000,2026-03-23 11:06:25.763000,0,0,20,20
141063,5647,FU06688,30.0,0.0,0.0,True,True,False,False,2026-02-28 07:52:18.703000,2026-03-02 08:32:27.107000,0,0,20,20
135801,5318,FU06688,17.0,0.0,0.0,True,True,False,False,2026-02-16 08:13:53.613000,2026-02-16 08:24:38.873000,0,0,20,20
135823,5318,FU06688,39.0,0.0,0.0,True,True,False,False,2026-02-16 08:13:53.613000,2026-02-16 08:24:35.703000,0,0,20,20
