IdProductoBodega,IdProducto,producto_codigo,producto_nombre,IdUbicacion,ubicacion_codigo,IdProductoEstado,estado,Lote,lic_plate,filas_duplicadas,un_totales,primera_fecha,ultima_fecha
436,88,WMS176,PALMITOS MIGUELS RODAJAS 6/1600GR,398,3D4,1,BUEN ESTADO,18.07925,0,2,169.0,2025-11-28 15:32:37,2025-11-28 15:34:07
936,188,WMS270,PALMITO ENTERO KILLIO 12/420 GRS.,494,2D3,1,BUEN ESTADO,18.26225,FU04435,2,168.0,2025-12-02 14:29:01.067000,2025-12-02 14:29:01.067000
261,53,WMS140,MIEL LA CONDESA 12/460 GR 16OZ,352,1B3,1,BUEN ESTADO,261403,FU08374,2,165.0,2026-04-08 11:29:58.640000,2026-04-08 11:29:58.640000
1391,279,WMS7,COCTEL DE FRUTAS MIGUELS 12/820GR 29OZ,658,1D1,1,BUEN ESTADO,SYF25140,FU08695,2,163.0,2026-04-16 10:36:13.653000,2026-04-16 10:36:13.653000
461,93,WMS180,MERMELADA ADRIANNA HIGO 12/330GR,684,2B3,1,BUEN ESTADO,28012030,FU08582,2,162.0,2026-04-14 08:25:15.630000,2026-04-14 08:25:15.630000
1296,260,WMS52,"HIGO DE PRIMERA MIGUELS ENTERO LATA 6/1 GALON 3,115g",845,3B1,1,BUEN ESTADO,0918325,FU08487,2,159.0,2026-04-10 09:20:56.117000,2026-04-10 09:20:56.117000
736,148,WMS230,MELOCOTON KILLIOS EN ALMIBAR FRASCO 12/550G,173,1A1,1,BUEN ESTADO,DLF25678,FU05118,2,156.0,2025-12-26 07:00:39.793000,2025-12-26 07:00:39.793000
391,79,WMS167,MELOCOTON MIGUELS MITADES 12/820GR 29OZ,720,PICKING,1,BUEN ESTADO,25225,FU07727,2,156.0,2026-03-12 09:13:06.083000,2026-03-12 09:13:06.083000
55,11,WMS100,CHAMPINONES KILLIOS EN RODAJA 6/2840GR 100.17OZ,1284,14D1,1,BUEN ESTADO,227397,0,2,150.0,2025-05-29 12:10:29,2025-05-29 12:12:45
566,114,WMS2,PALMITOS MIGUELS ENTEROS 12/420GR 15OZ,233,4A1,1,BUEN ESTADO,18.29425,FU08138,2,144.0,2026-03-24 12:39:09.207000,2026-03-24 12:39:09.207000
220,44,WMS132,ACEITUNAS EXCELENCIA NEGRAS EN RODAJA 6/3000GRS 105.8OZ,662,1D2,1,BUEN ESTADO,26034AG,540007171,2,138.0,2026-04-21 10:36:43.890000,2026-04-21 10:36:43.890000
30,6,WMS327,CHAMPINONES ENTEROS VIDRIO KILLIOS 12/250 GRS.,65,1A4,1,BUEN ESTADO,1269,0,2,137.0,2025-05-28 12:20:38,2025-05-28 12:20:38
665,133,WMS216,VINAGRE DE MANZANA ORGANICO DON LAZARO 12/500ML,1454,PICKING,1,BUEN ESTADO,23951MEB,D3001005,2,120.0,2025-12-09 07:34:32.623000,2025-12-09 07:34:32.623000
