COLUMN_NAME	DATA_TYPE
IdUsuario	int
IdEmpresa	int
nombres	nvarchar
apellidos	nvarchar
cedula	nvarchar
direccion	nvarchar
telefono	nvarchar
email	nvarchar
codigo	nvarchar
clave	nvarchar
ultimo_login	datetime
activo	bit
user_agr	nvarchar
fec_agr	datetime
user_mod	nvarchar
fec_mod	datetime
foto	image
sistema	bit
clave_autorizacion	nvarchar
usuario_sap_b1	nvarchar
