IdTipoTarea,tipo_tarea,Contabilizar,ejecutadas,pct
2,UBIC,False,25784,50.31
1,RECE,True,15801,30.83
8,PIK,True,9622,18.77
6,INVE,True,44,0.09
3,CEST,False,1,0.00
